file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
011122_014815-484434.pdf	bcsi_packdesign			0
011122_020837-733777.pdf	adobe			0
011122_022343-949363.pdf	bcsi_packdesign			0
011122_035554-505722.pdf	bcsi_packdesign			0
011122_035612-805371.PDF	bcsi_packdesign			0
011122_043351-753154.pdf	cairo			0
011122_055402-161688.pdf	office_print			0
011122_055926-967928.pdf	bcsi_packdesign			0
011122_083614-739360.pdf	office_print			0
011122_092748-113730.pdf	adobe			0
011222_012338-466017.PDF	bcsi_packdesign			0
011222_012342-943698.pdf	adobe	Y	Y	1
011222_013007-846875.pdf	cairo			0
011222_013017-545727.pdf	adobe	Y	Y	1
011222_013020-208291.pdf	adobe	Y	Y	1
011222_013024-525427.pdf	adobe	Y	Y	1
011222_030650-496115.pdf	adobe	Y	Y	1
011222_030829-136516.pdf	other			0
011222_031818-858492.pdf	other			0
011222_032009-805645.pdf	other			0
020223_022935-198895.PDF	bcsi_packdesign			0
020223_022940-507732.pdf	bcsi_packdesign			0
020223_023005-139073.PDF	bcsi_packdesign			0
020223_023009-297398.pdf	bcsi_packdesign			0
020223_031132-169611.pdf	adobe	Y	Y	1
020223_035017-676659.pdf	office_print			0
020223_062344-992589.pdf	cairo			0
020223_062357-282593.pdf	office_print			0
020223_065052-404997.pdf	other			0
020223_065206-105111.pdf	cairo			0
020223_070142-976036.pdf	cairo			0
020223_070207-311039.pdf	cairo			0
020223_081514-462964.pdf	office_print			0
020223_085615-314428.pdf	other			0
020323_002105-549199.pdf	adobe			0
020323_002302-865851.pdf	adobe			0
020323_002307-854445.pdf	bcsi_packdesign			0
020323_002314-839270.pdf	bcsi_packdesign			0
020323_002408-534130.pdf	adobe	Y		1
020323_002547-502359.pdf	adobe			0
020323_002717-869333.pdf	adobe			0
020323_003327-516114.pdf	adobe	Y	Y	1
020323_003331-385566.pdf	adobe	Y	Y	1
020323_003344-637494.pdf	cairo			0
020323_004017-317334.pdf	adobe			0
020323_023345-424584.pdf	other			0
020323_044102-352626.PDF	bcsi_packdesign			0
020323_044106-595879.pdf	bcsi_packdesign			0
020323_044717-546413.PDF	adobe			0
020323_045100-839061.PDF	bcsi_packdesign			0
020323_045104-317461.pdf	bcsi_packdesign			0
020323_050825-146285.PDF	bcsi_packdesign			0
020323_050829-738611.pdf	bcsi_packdesign			0
020323_050921-672612.pdf	adobe			0
020323_052516-521882.pdf	adobe			0
020323_052521-306741.pdf	bcsi_packdesign			0
020323_055555-134988.pdf	other			0
