relative_path	sha256	file_size	producer_raw	profile	profile_version	code_version	page_count	cut_len	crease_len	total_stroke_len	cov_cut	cov_crease	assigned_coverage_total	dist_cut	dist_crease	ambiguous_len	unassigned_len	neutral_len	other_structural	other_colors	n_up_guess	component_count	extracted
test/uploads/101122_020609-792676.pdf	546efc8a727273e3df8f531bb0a8c5719f664b5c2a3ff3fad091f070cbf69e00	137105	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	23455	18058	46507	0.504	0.388	0.893	0.0	0.0	0	0	4994	0		6	100	1
test/uploads/101122_030745-331430.pdf	81974ef4b3f02d91a63451a913baf33e8865ebac98ab5c135462b036289cacfb	172012	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	28867	13665	47526	0.607	0.288	0.895	0.0	0.0	0	0	4994	0		1	252	1
test/uploads/101122_033449-325022.pdf	0aee36ebd22af837884cc9f604830a172d0df6e8af79c15f48fee7528da405a6	135080	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	24366	12066	41425	0.588	0.291	0.879	0.0	0.0	0	0	4994	0		9	107	1
test/uploads/101122_084345-859662.pdf	0232dcde790a96fe97de78d3003247b27d576e5f4f1b72171996880456f44dc2	160692	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	44154	28960	78108	0.565	0.371	0.936	0.0	0.0	0	0	4994	0		12	244	1
test/uploads/110123_024723-815973.pdf	a71d29235d879d4451236b4dfe21fa73ab572f96709a919576d329a198e9f94f	134259	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	20992	16046	42032	0.499	0.382	0.881	0.0	0.0	0	0	4994	0		6	192	1
test/uploads/110123_050119-963486.pdf	0cd3cb4d4a1f111c5cc46c57404a99c4218e2a1bf05fd58aa32c9cb9855c89fa	131814	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	20332	12162	37488	0.542	0.324	0.867	0.0	0.0	0	0	4994	0		4	185	1
test/uploads/110123_050941-223374.pdf	403b0f50072ad1cd2c17b23ae35237186a6af2fc81880fcce41a6d17f3f8de43	15461395	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	56030	0	59257	0.946	0.0	0.946	0.0	0.0	0	1895	807	1	(0.41, 0.74, 0.27):1793;(0.93, 0.13, 0.14):102	3	687	0
test/uploads/110123_075116-344125.pdf	714152084d0b396fb994ef6e1985d2dc081290f160529eb6096c1249343bf568	125708	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	12793	9698	27485	0.465	0.353	0.818	0.0	0.0	0	0	4994	0		8	89	1
test/uploads/110223_003032-446264.pdf	b697f43f4dfa5f87afe17b256de31f1837771e31c3976f7810f34315f8dee641	334992	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	23309	10833	34142	0.683	0.317	1.0	0.0	0.0	0	0	0	0		4	126	1
test/uploads/110223_025937-917419.pdf	74b781c9451d47cd86e28f330b7c1b569e89f465214ced5cdcc60909e114dc22	46514	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	7833	4685	19170	0.409	0.244	0.653	0.0	0.0	0	0	6653	0		1	143	1
test/uploads/110323_061927-476528.pdf	a98a083776a07a8b7579528c988a94e0aa82319a042903f039ca82fda20ae23f	1229660	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	4934	2004	88193	0.056	0.023	0.079	0.0	0.0	0	1691	7776	0	(0.44, 0.44, 0.7):1322;(0.74, 0.83, 0.9):231;(0.93, 0.11, 0.14):138;(0.02, 0.17, 0.28):0	1	5	0
test/uploads/110323_080135-785582.pdf	80c00baa39dc58b671a147acbad39685dda263784999be9f10551fd0400e2dc1	859429	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	8505	6477	75962	0.112	0.085	0.197	0.0	0.0	0	23610	10719	1	(0.0, 0.68, 0.94):22722;(0.0, 0.65, 0.32):887	2	8	1
test/uploads/110323_080307-981182.pdf	522aff86d6a30285cd13905473b467404b0e59e2d21fda3add7c7649ed1b1a22	904948	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	7364	5654	119833	0.061	0.047	0.109	0.0	0.0	0	52662	14723	1	(0.0, 0.68, 0.94):50864;(0.0, 0.65, 0.32):1640;(0.42, 0.74, 0.27):159	1	7	1
test/uploads/110523_021938-815526.pdf	c5b89ad2f7d03d82eab56e4e0aeba0b44c5b4a755e11f9b2166608840978aaa6	143654	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	26156	14674	46094	0.567	0.318	0.886	0.0	0.0	0	0	5263	0		9	105	1
test/uploads/110523_031536-912494.pdf	26b3b8c6f135e23d4475e6540f695d11944957fc23e13913373e1a40c9227e7a	292225	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	72949	137	73087	0.998	0.002	1.0	0.0	0.0	0	0	0	0		10	202	0
test/uploads/110523_033531-297820.pdf	26b3b8c6f135e23d4475e6540f695d11944957fc23e13913373e1a40c9227e7a	292225	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	72949	137	73087	0.998	0.002	1.0	0.0	0.0	0	0	0	0		10	202	0
test/uploads/110523_033635-541378.pdf	b74985508593c388e98d67cff96a8601935479bac2ae5676db059e8783b6d46c	110390	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	66259	0	66259	1.0	0.0	1.0	0.0	0.0	0	0	0	0		8	182	0
test/uploads/110822_033025-493985.pdf	fd8538f4ec020e792113483937d0d6b441f4c2f7127f0bf2a745c3326cc87d8b	132718	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	27297	23040	55330	0.493	0.416	0.91	0.0	0.0	0	0	4994	0		8	33	1
test/uploads/110822_035421-689628.pdf	fd8538f4ec020e792113483937d0d6b441f4c2f7127f0bf2a745c3326cc87d8b	132718	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	27297	23040	55330	0.493	0.416	0.91	0.0	0.0	0	0	4994	0		8	33	1
test/uploads/110822_091653-353466.pdf	dc5c76bcbccfe8ec5f4b124263efd7490601db4da5d2a679e76f5dc2907a987c	131918	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	26012	20508	51513	0.505	0.398	0.903	0.0	0.0	0	0	4994	0		12	28	1
test/uploads/110822_092105-594498.pdf	16834230b7a6ee15558ee9091cf907dde93bf8e7f7e7045f24d6cbb1eac42f16	44604087	Adobe Illustrator CC 22.0 (Macintosh)	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	156299	0	156299	1.0	0.0	1.0	0.0	0.0	0	0	0	0		11	2425	0
test/uploads/110823_125423-279740.pdf	8fa90b136ee0bcf89622a386d3e02f95433905ed2fb80eca72f1ae8fe958a802	109590	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	16717	10651	32361	0.517	0.329	0.846	0.0	0.0	0	0	4994	0		2	90	1
test/uploads/110823_125428-629414.pdf	2f32167036887294bad2839d91e650ac73ecdcfdb8dac5a336344e4616df4098	111136	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	16823	10651	32468	0.518	0.328	0.846	0.0	0.0	0	0	4994	0		2	92	1
test/uploads/110823_130031-141626.pdf	082a5c4b9d5263d60f59043785d56350b6c8b3fc3ec6a15e5598248275822258	28679730	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	5566	3285	80824	0.069	0.041	0.11	0.0	0.0	0	18708	7661	1	(0.0, 0.68, 0.94):17913;(0.44, 0.44, 0.7):794	1	2	1
test/uploads/110823_180933-657199.pdf	8ebe88a767862d9f01a614e564f145720008c79030ff178ce165d539be86ad98	4443509	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	6010	3722	79731	0.075	0.047	0.122	0.0	0.0	0	1182	7352	0	(0.44, 0.44, 0.7):934;(0.0, 0.68, 0.94):249	2	77	1
test/uploads/111122_011725-689866.pdf	0a5addc1830e557574c56db8e30acc9b501e5830ab0939be5f32bde7b6bace93	1025898	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	27219	2518	77642	0.351	0.032	0.383	0.0	0.0	0	5636	1555	1	(0.0, 0.6, 0.51):5636	10	707	1
test/uploads/111122_012822-999067.pdf	665fb30a272398b91e0c1d5185c5427e148c0b556e301236725d0f9ac8e2fea1	170577	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	47940	26422	79356	0.604	0.333	0.937	0.0	0.0	0	0	4994	0		30	394	1
test/uploads/111122_023105-954482.pdf	a5e7e993c6139032b1498fe465bb8c1b936fb86fbff07458ae204813bf72d640	142209	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	34321	19313	58628	0.585	0.329	0.915	0.0	0.0	0	0	4994	0		18	220	1
test/uploads/120123_024032-629952.pdf	f43423b852ea098771d2c86a582955702bc09194e3dbb3ca25db93ca7675a5f4	154470	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	28203	16618	49814	0.566	0.334	0.9	0.0	0.0	0	0	4994	0		9	133	1
test/uploads/120123_024927-697562.pdf	cb49c295e42895a2f3f4e7a2bfde1c8be82b60a31ea51f1d0907e9f5523a37c3	132878	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	15539	11686	32219	0.482	0.363	0.845	0.0	0.0	0	0	4994	0		4	120	1
test/uploads/120123_025226-218328.pdf	bc10bce539e10e12e52ba3d7df7d4934cca84aeab6ea8e3ffb4350ce946cb515	140742	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	32533	122	37649	0.864	0.003	0.867	0.0	0.0	0	0	4994	0		2	360	0
test/uploads/120123_031004-436649.pdf	aed9077aa6bfda528b0f4f96927e2a069f8af9f653615f28640d6e76f6dd0e82	2092803	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	29671	3059	113513	0.261	0.027	0.288	0.0	0.0	0	13789	2853	1	(0.87, 0.09, 0.51):13183;(0.46, 0.72, 0.17):394;(0.02, 0.43, 0.28):212	5	718	0
test/uploads/120123_053941-352333.pdf	3af38c04b3c8dd8dbfa2524c856d858f5757364c2b69007ff34aac54d47f8e91	117175	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	30415	0	35409	0.859	0.0	0.859	0.0	0.0	0	0	4994	0		1	66	0
test/uploads/120123_090211-748912.pdf	7d8fc35911ca9a2d214166d22ca0ecd9d53b2c745132cce466970f512baebe8c	122766	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	14144	8518	27655	0.511	0.308	0.819	0.0	0.0	0	0	4994	0		3	52	1
test/uploads/120523_041746-353767.pdf	b407459c6b3a6429dcdf93faf5646b61525a9a895811c358bc6f246d724a47bd	135498	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	23899	12303	41196	0.58	0.299	0.879	0.0	0.0	0	0	4994	0		4	208	1
test/uploads/120523_072703-404760.pdf	c0d0b32baf64b379c6e1818c0263ff4f84873adaa1fab48f4f9ebfb56872a2a3	159662	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	31466	21932	58393	0.539	0.376	0.914	0.0	0.0	0	0	4994	0		9	184	1
test/uploads/120722_031458.pdf	eaf137e370a11eb8b578133edb41934720b074350a9b25026c78ddda264bc15a	1320135	Adobe PDF library 16.03	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	8651	5368	113905	0.076	0.047	0.123	0.0	0.0	0	1529	13610	0	(0.44, 0.44, 0.7):1322;(0.92, 0.27, 0.6):206	4	6	1
test/uploads/120723_111931-534614.pdf	b7a6811000f06b1edc81c7833c58460e194252db0d476c1b537fc4210e95f0a2	518556	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	44432	7178	142336	0.312	0.05	0.363	0.0	0.0	0	3745	3134	1	(0.89, 0.27, 0.49):3745	7	886	1
test/uploads/120723_111947-306942.pdf	8a43c486b4703525bb89a07760e03d2657ea4dbea81ed5176634d21b00a26e65	533491	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43663	7178	142842	0.306	0.05	0.356	0.0	0.0	0	3745	3137	1	(0.0, 0.68, 0.67):3745	7	867	1
test/uploads/120723_111950-914414.pdf	a477c19ac0175706c1313d5a353a77f6d422c6961321fff1b1b0ca5a36405aa5	548589	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43802	7178	144908	0.302	0.05	0.352	0.0	0.0	0	3745	3135	1	(0.61, 0.39, 0.65):3745	7	868	1
