file	profile	cut_len	crease_len	total_len	cov_cut	cov_crease	dist_cut	dist_crease	ambiguous	extracted
270423_084255-559747.PDF	bcsi_packdesign_2008_v1	6230	4663	28463	0.219	0.164	0.0	0.0		Y
270423_084306-745969.pdf	bcsi_packdesign_2008_v1	18535	13846	42569	0.435	0.325	0.0	0.0		Y
270423_090627-317187.pdf	bcsi_packdesign_2008_v1	18733	12448	38961	0.481	0.319	0.0	0.0		Y
270423_090630-315597.PDF	bcsi_packdesign_2008_v1	6311	4208	24191	0.261	0.174	0.0	0.0		Y
270423_091310-384487.PDF	bcsi_packdesign_2008_v1	43	838	9908	0.004	0.085	0.0	0.0		
270423_091314-237815.pdf	bcsi_packdesign_2008_v1	0	4792	12470	0.0	0.384	0.0	0.0		
270423_093129-572729.PDF	bcsi_packdesign_2008_v1	7279	3460	27786	0.262	0.125	0.0	0.0		Y
270423_093156-604764.pdf	bcsi_packdesign_2008_v1	14419	6797	28387	0.508	0.239	0.0	0.0		Y
270423_093653-725615.PDF	bcsi_packdesign_2008_v1	6776	3924	25244	0.268	0.155	0.0	0.0		Y
270423_093659-607587.pdf	bcsi_packdesign_2008_v1	13409	7721	28233	0.475	0.273	0.0	0.0		Y
270423_094131-912256.PDF	bcsi_packdesign_2008_v1	10306	2720	19540	0.527	0.139	0.0	0.0		Y
270423_094141-509595.pdf	bcsi_packdesign_2008_v1	41046	10721	57621	0.712	0.186	0.0	0.0		Y
270523_070601-936184.pdf	bcsi_packdesign_2008_v1	13126	8331	28256	0.465	0.295	0.0	0.0		Y
270523_070604-279164.PDF	bcsi_packdesign_2008_v1	13188	8389	47294	0.279	0.177	0.0	0.0		Y
270523_073059-807628.pdf	bcsi_packdesign_2008_v1	9469	8911	24604	0.385	0.362	0.0	0.0		Y
270523_073103-526295.PDF	bcsi_packdesign_2008_v1	9550	8986	44873	0.213	0.2	0.0	0.0		Y
270523_073808-498180.pdf	bcsi_packdesign_2008_v1	22398	16891	49504	0.452	0.341	0.0	0.0		Y
270523_073811-474161.PDF	bcsi_packdesign_2008_v1	7512	5673	30806	0.244	0.184	0.0	0.0		Y
270523_075743-383892.pdf	bcsi_packdesign_2008_v1	11440	7695	26264	0.436	0.293	0.0	0.0		Y
270523_075747-573743.PDF	bcsi_packdesign_2008_v1	17461	11029	70642	0.247	0.156	0.0	0.0		Y
270622_084916.pdf	bcsi_packdesign_2008_v1	21215	13645	42198	0.503	0.323	0.0	0.0		Y
270623_012526-456382.PDF	bcsi_packdesign_2008_v1	11345	6150	38978	0.291	0.158	0.0	0.0		Y
270623_012530-165142.pdf	bcsi_packdesign_2008_v1	22557	12177	43507	0.518	0.28	0.0	0.0		Y
270623_021438-869871.PDF	bcsi_packdesign_2008_v1	9752	6928	37319	0.261	0.186	0.0	0.0		Y
270623_021454-182171.pdf	bcsi_packdesign_2008_v1	19387	13747	40360	0.48	0.341	0.0	0.0		Y
270722_093052.pdf	bcsi_packdesign_2008_v1	16017	11023	35172	0.455	0.313	0.0	0.0		Y
270722_093056.pdf	bcsi_packdesign_2008_v1	5405	3736	17760	0.304	0.21	0.0	0.0		Y
270722_094436.pdf	bcsi_packdesign_2008_v1	5338	3810	17910	0.298	0.213	0.0	0.0		Y
270722_094442.pdf	bcsi_packdesign_2008_v1	15831	11261	35448	0.447	0.318	0.0	0.0		Y
270722_094623.pdf	bcsi_packdesign_2008_v1	5602	3987	18408	0.304	0.217	0.0	0.0		Y
270722_094631.pdf	bcsi_packdesign_2008_v1	16597	11769	36658	0.453	0.321	0.0	0.0		Y
270723_161921-733694.PDF	bcsi_packdesign_2008_v1	6933	3603	27572	0.251	0.131	0.0	0.0		Y
270723_161926-957388.pdf	bcsi_packdesign_2008_v1	13719	7076	27521	0.498	0.257	0.0	0.0		Y
270723_162409-922165.PDF	bcsi_packdesign_2008_v1	6669	3650	23300	0.286	0.157	0.0	0.0		Y
270723_162412-285116.pdf	bcsi_packdesign_2008_v1	13214	7189	27258	0.485	0.264	0.0	0.0		Y
270723_164342-219461.PDF	bcsi_packdesign_2008_v1	3834	3043	10926	0.351	0.278	0.026	0.006		Y
270922_092700-282383.pdf	bcsi_packdesign_2008_v1	13270	9682	35997	0.369	0.269	0.0	0.0		Y
271022_012828-439354.pdf	bcsi_packdesign_2008_v1	2623	1989	11562	0.227	0.172	0.0	0.0		Y
271022_012835-716237.pdf	bcsi_packdesign_2008_v1	51421	38862	94733	0.543	0.41	0.0	0.0		Y
271022_013939-142887.pdf	bcsi_packdesign_2008_v1	20661	12456	41820	0.494	0.298	0.0	0.0		Y
271022_013948-318714.pdf	bcsi_packdesign_2008_v1	6984	4242	22125	0.316	0.192	0.0	0.0		Y
271022_021123-478931.PDF	bcsi_packdesign_2008_v1	5229	4050	16062	0.326	0.252	0.182	0.089		Y
271022_021938-924413.PDF	bcsi_packdesign_2008_v1	6731	3101	23392	0.288	0.133	0.0	0.0		Y
271022_021943-133555.pdf	bcsi_packdesign_2008_v1	19976	9104	36430	0.548	0.25	0.0	0.0		Y
271022_023055-816540.PDF	bcsi_packdesign_2008_v1	6313	3669	20869	0.302	0.176	0.0	0.0		Y
271022_023108-758217.pdf	bcsi_packdesign_2008_v1	18735	10821	37234	0.503	0.291	0.0	0.0		Y
271022_024406-107724.pdf	bcsi_packdesign_2008_v1	22246	9858	37958	0.586	0.26	0.0	0.0		Y
271022_024413-955919.PDF	bcsi_packdesign_2008_v1	5607	2507	12643	0.443	0.198	0.0	0.0		Y
271022_075541-507220.pdf	bcsi_packdesign_2008_v1	18752	9082	33688	0.557	0.27	0.0	0.0		Y
271022_075544-697654.PDF	bcsi_packdesign_2008_v1	4756	2334	12687	0.375	0.184	0.0	0.0		Y
271022_094853-609597.PDF	bcsi_packdesign_2008_v1	5595	4412	20248	0.276	0.218	0.03	0.07		Y
280123_004855-271754.PDF	bcsi_packdesign_2008_v1	1490	1584	8883	0.168	0.178	0.0	0.0		Y
280123_004904-707114.pdf	bcsi_packdesign_2008_v1	26388	28114	60356	0.437	0.466	0.0	0.0		Y
280123_004933-997779.PDF	bcsi_packdesign_2008_v1	5775	3943	23094	0.25	0.171	0.0	0.0		Y
280123_004936-861684.pdf	bcsi_packdesign_2008_v1	11477	7819	25905	0.443	0.302	0.0	0.0		Y
280223_062718-923426.PDF	bcsi_packdesign_2008_v1	3846	2654	18560	0.207	0.143	0.0	0.0		Y
280223_062724-898288.pdf	bcsi_packdesign_2008_v1	22702	15591	49287	0.461	0.316	0.0	0.0		Y
